movie,production_budget,domestic_gross,production_profit_domestic
Spartacus,12000000,30000000,18000000
Logan's Run,7000000,25000000,18000000
A Room with a View,3000000,20966644,17966644
The Ides of March,23000000,40962534,17962534
Shutter,8000000,25928550,17928550
Man on Fire,60000000,77906816,17906816
The X Files: Fight the Future,66000000,83898313,17898313
Shall We Dance?,40000000,57887882,17887882
Notorious,19000000,36843682,17843682
Outbreak,50000000,67823573,17823573
Invincible,40000000,57806952,17806952
Gifted,7000000,24801212,17801212
The Fisher King,24000000,41798224,17798224
Isnât it Romantic,31000000,48791187,17791187
The Last House on the Left,15000000,32752215,17752215
Exodus,4000000,21750000,17750000
Sinister 2,10000000,27740955,17740955
How Stella Got Her Groove Back,20000000,37672944,17672944
Because of Winn-Dixie,15000000,32647042,17647042
The Adventures of Huck Finn,6500000,24103594,17603594
Waitress,1500000,19097550,17597550
Fargo,7000000,24567751,17567751
The Wolverine,115000000,132556852,17556852
Bill & Ted's Bogus Journey,20000000,37537675,17537675
You're Next,1000000,18494006,17494006
Man of the Year,20000000,37442180,17442180
See Spot Run,16000000,33357476,17357476
A Christmas Story,3250000,20605209,17355209
The Jungle Book,27000000,44342956,17342956
The Usual Suspects,6000000,23341568,17341568
Radio,35000000,52333738,17333738
Underworld: Evolution,45000000,62318875,17318875
Shaft,53012938,70327868,17314930
Thank You For Smoking,7500000,24793509,17293509
Super Troopers,1200000,18492362,17292362
The Polar Express,170000000,187224605,17224605
The Beverly Hillbillies,25000000,42222647,17222647
Race to Witch Mountain,50000000,67172595,17172595
Zoolander,28000000,45172250,17172250
Love and Death,3000000,20123742,17123742
Chernobyl Diaries,1000000,18119640,17119640
The Sisterhood of the Traveling Pants 2,27000000,44089964,17089964
Escape From Planet Earth,40000000,57012977,17012977
Billy Elliot,5000000,21995263,16995263
The Howling,1000000,17985000,16985000
The Wolf of Wall Street,100000000,116900694,16900694
Sicario,30000000,46889293,16889293
Risen,20000000,36880033,16880033
Timecop,28000000,44853581,16853581
Men of Honor,32000000,48814909,16814909
The Kids Are All Right,4000000,20811365,16811365
I Feel Pretty,32000000,48795601,16795601
For Colored Girls,21000000,37729698,16729698
The Wedding Date,15000000,31726995,16726995
R.V.,55000000,71724497,16724497
The Forgotten,50000000,66711892,16711892
Saw VI,11000000,27693292,16693292
The Hours,25000000,41675994,16675994
Vampires Suck,20000000,36661504,16661504
Superstar,14000000,30628981,16628981
The Forest,10000000,26594261,16594261
Stargate,55000000,71565669,16565669
The Way Way Back,5000000,21502690,16502690
Kingdom of the Spiders,500000,17000000,16500000
Reds,33500000,50000000,16500000
Whale Rider,4300000,20779666,16479666
Modern Problems,8000000,24474312,16474312
Friday the 13th Part VI: Jason Lives,3000000,19472057,16472057
Friday the 13th Part VII: The New Blood,2800000,19170001,16370001
Sleeper,2000000,18344729,16344729
Rocketman,41000000,57342725,16342725
Emma,5900000,22231658,16331658
Kingdom Come,7000000,23247539,16247539
Pitch Black,23000000,39235088,16235088
"As Above, So Below",5000000,21222315,16222315
The Fourth Kind,10000000,26218170,16218170
Martin Lawrence Live: RunTelDat,3000000,19184820,16184820
Life of Brian,4000000,20182359,16182359
A Nightmare On Elm Street: The Dream Child,6000000,22168359,16168359
Money Talks,25000000,41076865,16076865
I Still Know What You Did Last Summer,24000000,40020622,16020622
Everything You Always Wanted to Know,2000000,18016290,16016290
Herbie: Fully Loaded,50000000,66010682,16010682
The New Guy,13000000,28972187,15972187
The Iron Lady,14000000,29959436,15959436
Seven Pounds,54000000,69951824,15951824
The Crocodile Hunter: Collision Course,12500000,28436931,15936931
Black Rain,30000000,45892212,15892212
The Princess Bride,15000000,30857000,15857000
The Black Hole,20000000,35841901,15841901
Crank,12000000,27838408,15838408
Coyote Ugly,45000000,60786269,15786269
Godâs Not Dead 2,5000000,20773069,15773069
The Family Man,60000000,75764085,15764085
The Apostle,5000000,20733485,15733485
The Outsiders,10000000,25697647,15697647
Hitman,24000000,39687694,15687694
The Man From Snowy River,5000000,20659423,15659423
Contagion,60000000,75658097,15658097
Cold Mountain,80000000,95632614,15632614
The American,20000000,35606376,15606376
Freedom Writers,21000000,36605602,15605602
The Apartment,3000000,18600000,15600000
Sicko,9000000,24538513,15538513
Ocean's Twelve,110000000,125531634,15531634
Any Given Sunday,60000000,75530832,15530832
Selena,20000000,35450113,15450113
Spaceballs,22700000,38119483,15419483
Blue Jasmine,18000000,33404871,15404871
The Horse Whisperer,60000000,75383563,15383563
Life as We Know It,38000000,53374681,15374681
Can't Hardly Wait,10000000,25358996,15358996
National Lampoonâs Van Wilder,6000000,21305259,15305259
Tomorrow Never Dies,110000000,125304276,15304276
Coraline,60000000,75286229,15286229
The Muppet Christmas Carol,12000000,27281507,15281507
Halloween: Resurrection,15000000,30259652,15259652
Kung Fu Panda 2,150000000,165249063,15249063
The Great Debaters,15000000,30226144,15226144
There Will Be Blood,25000000,40222514,15222514
Fruitvale Station,900000,16098998,15198998
Small Soldiers,40000000,55143823,15143823
When the Game Stands Tall,15000000,30127963,15127963
The Wild Thornberrys Movie,25000000,40108697,15108697
No Reservations,28000000,43107979,15107979
Kill Bill: Volume 1,55000000,70098138,15098138
Wolf Creek,1100000,16186348,15086348
U-571,62000000,77086030,15086030
A Knightâs Tale,41000000,56083966,15083966
Dr. No,1000000,16067035,15067035
Sicario: Day of the Soldado,35000000,50065850,15065850
A Very Harold & Kumar 3D Christmas,20000000,35061031,15061031
Sweet Sweetback's Baad Asssss Song,150000,15200000,15050000
Full Metal Jacket,30000000,45015999,15015999
Hell or High Water,12000000,27007844,15007844
Prisoners,46000000,61002302,15002302
Clash of the Titans,15000000,30000000,15000000
Cleopatra,42000000,57000000,15000000
Waiting...,1125000,16124543,14999543
The Bye Bye Man,7400000,22395806,14995806
Spawn,40000000,54979992,14979992
Loaded Weapon 1,13000000,27979399,14979399
Red Dragon,78000000,92955420,14955420
Den of Thieves,30000000,44947622,14947622
Welcome Home Roscoe Jenkins,27500000,42436517,14936517
The Book of Eli,80000000,94835059,14835059
On Her Majesty's Secret Service,8000000,22800000,14800000
2 Guns,61000000,75612460,14612460
Cat on a Hot Tin Roof,3000000,17570324,14570324
Much Ado About Nothing,8000000,22549338,14549338
Ladder 49,60000000,74541707,14541707
Old Dogs,35000000,49492060,14492060
Beneath the Planet of the Apes,3000000,17489009,14489009
Love Actually,45000000,59472278,14472278
Horrible Bosses 2,40000000,54445357,14445357
House Party 2,5000000,19438638,14438638
Doug's 1st Movie,5000000,19421271,14421271
Rugrats Go Wild,25000000,39402572,14402572
Duel in the Sun,6000000,20400000,14400000
The Kentucky Fried Movie,600000,15000000,14400000
Sparkle,10000000,24397469,14397469
Eternal Sunshine of the Spotless Mind,20000000,34366518,14366518
Texas Chainsaw 3D,20000000,34341945,14341945
The Three Stooges,30000000,44338224,14338224
Confessions of a Teenage Drama Queen,15000000,29331068,14331068
Babel,20000000,34302837,14302837
This is Where I Leave You,20000000,34296320,14296320
Sorry to Bother You,3200000,17493096,14293096
Hot Tub Time Machine,36000000,50269859,14269859
The Count of Monte Cristo,40000000,54228104,14228104
Legion,26000000,40168080,14168080
Breakdown,36000000,50159144,14159144
Baby Geniuses,13000000,27151490,14151490
The Object of my Affection,15000000,29145924,14145924
Race,5000000,19115191,14115191
Machete,12500000,26593646,14093646
The Big Hit,13000000,27066941,14066941
The Sisterhood of the Traveling Pants,25000000,39053061,14053061
Pokemon 3: The Movie,3000000,17052128,14052128
Mommie Dearest,5000000,19032000,14032000
Derailed,22000000,36020063,14020063
Money Monster,27000000,41012075,14012075
Empire,3500000,17504595,14004595
The Man with the Golden Gun,7000000,21000000,14000000
Frequency,31000000,44983704,13983704
Dark Skies,3500000,17418667,13918667
Child's Play 2,13000000,26904572,13904572
Frida,12000000,25885000,13885000
About a Boy,27000000,40803000,13803000
Pokemon 2000,30000000,43746923,13746923
The Player,8000000,21706101,13706101
Still Alice,5000000,18656400,13656400
Deep Blue Sea,60000000,73648228,13648228
28 Weeks Later,15000000,28638916,13638916
Black Hawk Down,95000000,108638745,13638745
Jack,45000000,58617334,13617334
Kevin Hart: What Now?,10000000,23591043,13591043
Harriet the Spy,13000000,26570048,13570048
United 93,18000000,31567134,13567134
Hellraiser,1000000,14564000,13564000
Battle: Los Angeles,70000000,83552429,13552429
Ted 2,68000000,81476385,13476385
Poetic Justice,14000000,27450453,13450453
Doubt,20000000,33446470,13446470
"Hello, My Name is Doris",1000000,14444999,13444999
Trainspotting,3100000,16501785,13401785
A Night at the Roxbury,17000000,30331165,13331165
A Haunted House 2,4000000,17329487,13329487
Katy Perry: Part of Me,12000000,25326071,13326071
Top Five,12000000,25317379,13317379
The Stewardesses,200000,13500000,13300000
Action Jackson,7000000,20257000,13257000
The Cable Guy,47000000,60240295,13240295
Undercover Brother,25000000,38230435,13230435
Mr. Poppers's Penguins,55000000,68224452,13224452
Malcolm X,35000000,48169910,13169910
Double Impact,16000000,29090445,13090445
The Prestige,40000000,53089891,13089891
Grosse Pointe Blank,15000000,28084357,13084357
Baggage Claim,8500000,21569509,13069509
John Wick,30000000,43037835,13037835
Kickboxer,1500000,14533681,13033681
Mike and Dave Need Wedding Dates,33000000,46009673,13009673
Courage Under Fire,46000000,59003384,13003384
Flubber,80000000,92993801,12993801
Corky Romano,11000000,23978402,12978402
Jason Goes to Hell: The Final Friday,3000000,15935068,12935068
Breathless,7000000,19910002,12910002
Forever My Girl,3500000,16376066,12876066
Team America: World Police,20000000,32774834,12774834
Halloween 4: The Return of Michael Myers,5000000,17768757,12768757
August: Osage County,25000000,37738810,12738810
Baby Boy,16000000,28734552,12734552
Nobodyâs Fool,19000000,31713110,12713110
The Hurricane,38000000,50699241,12699241
Apollo 18,5000000,17686929,12686929
21 and Over,13000000,25682380,12682380
Monsoon Wedding,1200000,13876974,12676974
It Follows,2000000,14674077,12674077
Three Kings,48000000,60652036,12652036
Glory Road,30000000,42647449,12647449
The Age of Adaline,30000000,42629776,12629776
Best in Show,6000000,18621249,12621249
The Mist,13000000,25593755,12593755
Black or White,9000000,21571189,12571189
"Paul, Apostle of Christ",5000000,17547999,12547999
The Godfather: Part III,54000000,66520529,12520529
The Girl with the Dragon Tattoo,90000000,102515793,12515793
Love and Basketball,15000000,27441122,12441122
Ex Machina,13000000,25440971,12440971
Poltergeist,35000000,47425125,12425125
Step Up 3D,30000000,42400223,12400223
Addicted,5000000,17390770,12390770
The Specialist,45000000,57362581,12362581
World War Z,190000000,202359711,12359711
The Lake House,40000000,52330111,12330111
The Adjustment Bureau,50200000,62495645,12295645
Honey,18000000,30272254,12272254
Unplanned,6000000,18107621,12107621
Drag Me To Hell,30000000,42100625,12100625
Michael Jackson's This Is It,60000000,72091016,12091016
The Cabin in the Woods,30000000,42073277,12073277
Secondhand Lions,30000000,42070939,12070939
Copycat,20000000,32051917,12051917
Creepshow,8000000,20036244,12036244
Tooth Fairy,48000000,60022256,12022256
Home Again,15000000,27020284,12020284
Scary Movie V,20000000,32015787,12015787
She's Out of My League,20000000,32010860,12010860
Predators,40000000,52000688,12000688
Spaced Invaders,3000000,15000000,12000000
Night of the Living Dead,114000,12087064,11973064
Fighting With My Family,11000000,22958583,11958583
Fantastic Four: Rise of the Silver Surfer,120000000,131921738,11921738
Halloween 3: Season of the Witch,2500000,14400000,11900000
The Odd Life of Timothy Green,40000000,51853450,11853450
Milk,20000000,31841299,11841299
Kiss of the Dragon,25000000,36833473,11833473
Chasing Amy,250000,12006514,11756514
Goosebumps 2: Haunted Halloween,35000000,46697321,11697321
Paint Your Wagon,20000000,31678778,11678778
Michael Jordan to the MAX,7000000,18642318,11642318
The Last King of Scotland,6000000,17606684,11606684
Mud,10000000,21590086,11590086
A Mighty Wind,6000000,17583468,11583468
Jonah: A VeggieTales Movie,14000000,25571351,11571351
Darkness,10600000,22163442,11563442
Eighth Grade,2000000,13539710,11539710
Spy Kids: All the Time in the World,27000000,38536376,11536376
The Fog,18000000,29511112,11511112
Middle School: The Worst Years of My Life,8500000,20007149,11507149
All About the Benjamins,14000000,25482931,11482931
Super Size Me,65000,11529368,11464368
Bowfinger,55000000,66458769,11458769
Million Dollar Arm,25000000,36447959,11447959
Book of Shadows: Blair Witch 2,15000000,26421314,11421314
Skyline,10000000,21416355,11416355
Boogie Nights,15000000,26410771,11410771
Lawless,26000000,37397291,11397291
Hocus Pocus,28000000,39360491,11360491
Beauty Shop,25000000,36351350,11351350
The Informant!,22000000,33316821,11316821
Godzilla,125000000,136314294,11314294
Peteâs Dragon,65000000,76233151,11233151
Kill Bill: Volume 2,55000000,66207920,11207920
The Haunting,80000000,91188905,11188905
The Living Daylights,40000000,51185000,11185000
The Last Exorcism Part II,4000000,15179303,11179303
The Debt,20000000,31177548,11177548
Ramona and Beezus,15000000,26167002,11167002
To Kill A Mockingbird,2000000,13129846,11129846
The Disaster Artist,10000000,21120616,11120616
The Transporter 2,32000000,43095856,11095856
Joe Dirt,16000000,27087695,11087695
King Kong,207000000,218080025,11080025
Down to You,9000000,20035310,11035310
O (Othello),5000000,16017403,11017403
Exorcist II: The Heretic,14000000,25011000,11011000
Nim's Island,37000000,48006762,11006762
The Front Page,4000000,15000000,11000000
Beasts of the Southern Wild,1800000,12795746,10995746
What a Girl Wants,25000000,35990505,10990505
Clockstoppers,26000000,36985501,10985501
Rounders,12000000,22921898,10921898
Contact,90000000,100920329,10920329
The Women,16000000,26902075,10902075
La misma luna,1700000,12590147,10890147
Apocalypto,40000000,50866635,10866635
Beastly,17000000,27865571,10865571
Akeelah and the Bee,8000000,18848430,10848430
12 Strong,35000000,45819713,10819713
Underworld 3: Rise of the Lycans,35000000,45802315,10802315
Blair Witch,10000000,20777061,10777061
The Dead Zone,10000000,20766000,10766000
The Big Parade,245000,11000000,10755000
Casino Royale,12000000,22744718,10744718
Silent House,2000000,12739737,10739737
Do You Believe?,2300000,12985600,10685600
Prophecy,12000000,22673340,10673340
Jeepers Creepers II,25000000,35623801,10623801
Music and Lyrics,40000000,50572589,10572589
Religulous,2500000,13011160,10511160
Dope,7000000,17506470,10506470
Creepshow 2,3500000,14000000,10500000
Shanghai Knights,50000000,60470220,10470220
Space Jam,80000000,90463534,10463534
Stranger Than Fiction,30000000,40435190,10435190
Peppermint,25000000,35418723,10418723
Trapeze,4000000,14400000,10400000
Valentine,10000000,20384136,10384136
The Brothers McMullen,50000,10426506,10376506
Go!,6500000,16875273,10375273
Pride & Prejudice,28000000,38372662,10372662
Project Almanac,12000000,22348241,10348241
A Prairie Home Companion,10000000,20342852,10342852
Reno 911!: Miami,10000000,20342161,10342161
Bloodsport,1500000,11806119,10306119
AVP: Alien Vs. Predator,70000000,80281096,10281096
Heavy Metal,9300000,19571091,10271091
Hanna,30000000,40259119,10259119
Dinosaur,127500000,137748063,10248063
The Return of the Living Dead,4000000,14237880,10237880
Family Plot,3000000,13200000,10200000
High Plains Drifter,5500000,15700000,10200000
Raising Cain,11000000,21171695,10171695
Brooklyn's Finest,17000000,27163593,10163593
Halloween: The Curse of Michael Myers,5000000,15126948,10126948
Blue Crush,30000000,40118420,10118420
Ghost Ship,20000000,30113491,10113491
Daybreakers,20000000,30101577,10101577
Wes Craven's New Nightmare,8000000,18090181,10090181
Facing the Giants,100000,10178331,10078331
The Bank Job,20000000,30060660,10060660
The Devil's Rejects,7000000,17044981,10044981
Hostel: Part II,7500000,17544812,10044812
You Don't Mess With the Zohan,90000000,100018837,10018837
The November Man,15000000,25018119,10018119
Good Luck Chuck,25000000,35017297,10017297
Die Hard: With a Vengeance,90000000,100012499,10012499
Torn Curtain,3000000,13000000,10000000
The Egyptian,5000000,15000000,10000000
Tron,17000000,26918576,9918576
The Birth of a Nation,110000,10000000,9890000
War Horse,70000000,79883359,9883359
Being John Malkovich,13000000,22858926,9858926
Legal Eagles,40000000,49851591,9851591
Jane Austen's Mafia,10000000,19843795,9843795
How to be Single,37000000,46843513,9843513
Eve's Bayou,5000000,14843425,9843425
Drive Me Crazy,8000000,17843379,9843379
Escape from the Planet of the Apes,2500000,12300000,9800000
Wild Things,20000000,29795299,9795299
BrightBurn,7000000,16794432,9794432
Whiplash,3300000,13092006,9792006
The Craft,15000000,24769466,9769466
Office Christmas Party,45000000,54767494,9767494
The Lost Weekend,1250000,11000000,9750000
Kidnap,21000000,30718107,9718107
Cradle 2 the Grave,25000000,34657731,9657731
Maniac,350000,10000000,9650000
Nighthawks,5000000,14600000,9600000
Black Mass,53000000,62575678,9575678
30 Days of Night,30000000,39568996,9568996
Enough Said,8000000,17550872,9550872
Boys Don't Cry,2000000,11540607,9540607
Just Wright,12000000,21540363,9540363
In Cold Blood,3500000,13000000,9500000
Casablanca,1039000,10462500,9423500
Pirates of the Caribbean: At Worldâs End,300000000,309420425,9420425
Half Baked,8000000,17394881,9394881
F.I.S.T,11000000,20388920,9388920
Friday the 13th Part VIII: Jason Takes Manhattan,5000000,14343976,9343976
King Kong,672000,10000000,9328000
Sleepers,44000000,53300852,9300852
The Nun's Story,3500000,12800000,9300000
Once,150000,9445857,9295857
Das Leben der Anderen,2000000,11284657,9284657
Two Can Play That Game,13000000,22235901,9235901
Harold & Kumar Go to White Castle,9000000,18225165,9225165
"Hello, Dolly",24000000,33208099,9208099
The Hangover 3,103000000,112200072,9200072
Planes: Fire and Rescue,50000000,59157732,9157732
Stir of Echoes,12000000,21133087,9133087
Spring Breakers,5000000,14124286,9124286
Frenzy,3500000,12600000,9100000
Tales from the Crypt: Demon Knight,12000000,21089146,9089146
The Stepfather,20000000,29062561,9062561
30 Minutes or Less,28000000,37053924,9053924
Cry Wolf,1000000,10047674,9047674
Godzilla 2000,1000000,10037390,9037390
Barry Lyndon,11000000,20000000,9000000
They Live,4000000,13000000,9000000
It Comes at Night,5000000,13985117,8985117
Upgrade,3000000,11977130,8977130
Spy Hard,18000000,26936265,8936265
Secrets & Lies,4500000,13417292,8917292
Must Love Dogs,35000000,43894863,8894863
She's the Man,25000000,33889159,8889159
The Prodigy,6000000,14856291,8856291
Tin Cup,45000000,53854588,8854588
Ricki and the Flash,18000000,26839498,8839498
The Possession of Hannah Grace,6000000,14836174,8836174
Devil's Due,7000000,15821461,8821461
The Contender,9000000,17804273,8804273
License to Wed,35000000,43799818,8799818
Finding Forrester,43000000,51768623,8768623
The Switch,19000000,27758465,8758465
Little Shop of Horrors,30000000,38747385,8747385
Blue Valentine,1000000,9737892,8737892
New in Town,8000000,16734283,8734283
Dave Chappelle's Block Party,3000000,11718595,8718595
Show Boat,2300000,11000000,8700000
On the Waterfront,910000,9600000,8690000
The Gambler,25000000,33680992,8680992
Return to Me,24000000,32662299,8662299
Delivery Man,22000000,30659817,8659817
Y Tu MamÃ¡ TambiÃ©n,5000000,13649881,8649881
Curious George,50000000,58640119,8640119
Rat Race,48000000,56607223,8607223
Glory,18000000,26593580,8593580
25th Hour,4500000,13084595,8584595
Antwone Fisher,12500000,21078145,8578145
Mad Max,200000,8750000,8550000
School Daze,6000000,14545844,8545844
Shaun of the Dead,5000000,13542874,8542874
Bad Boys II,130000000,138540870,8540870
Immortals,75000000,83504017,8504017
Harper,3500000,12000000,8500000
La Guerre du feu,12500000,20959585,8459585
The Haunting of Molly Hartley,5000000,13442412,8442412
Gridiron Gang,30000000,38432823,8432823
The Men Who Stare at Goats,24000000,32428195,8428195
Midnight Run,30000000,38413606,8413606
Tango & Cash,55000000,63408614,8408614
Conan the Destroyer,18000000,26400000,8400000
The Hobbit: The Desolation of Smaug,250000000,258366855,8366855
"Yours, Mine and Ours",45000000,53359917,8359917
Love the Coopers,18000000,26302731,8302731
Mr. Beanâs Holiday,25000000,33302167,8302167
Paranormal Activity: The Ghost Dimension,10000000,18297124,8297124
Sugar Hill,10000000,18272447,8272447
Meet the Spartans,30000000,38233676,8233676
Meet the Blacks,900000,9097072,8197072
Saving Grace,4000000,12178602,8178602
Begin Again,8000000,16170632,8170632
The Running Man,30000000,38122000,8122000
We Were Soldiers,70000000,78120196,8120196
Hillaryâs America: The Secret History of the Democratic Party,5000000,13099931,8099931
Match Point,15000000,23089926,8089926
"Hail, Caesar!",22000000,30080225,8080225
The Constant Gardener,25500000,33579798,8079798
Jay and Silent Bob Strike Back,22000000,30059386,8059386
Krush Groove,3000000,11052713,8052713
Keeping the Faith,29000000,37036404,8036404
The Monuments Men,70000000,78031620,8031620
Transamerica,1000000,9015303,8015303
Beyond the Valley of the Dolls,1000000,9000000,8000000
Love Me Tender,1000000,9000000,8000000
Conquest of the Planet of the Apes,1700000,9700000,8000000
You Can Count on Me,1200000,9180275,7980275
Boiler Room,9000000,16963963,7963963
Lone Star,5000000,12961389,7961389
Secret Window,40000000,47958031,7958031
The Remains of the Day,15000000,22954968,7954968
April Fool's Day,5000000,12947763,7947763
The Skeleton Key,40000000,47907715,7907715
Cop Out,37000000,44875481,7875481
Unfriended: Dark Web,1000000,8866745,7866745
Flirting with Disaster,7000000,14853474,7853474
An Ideal Husband,10700000,18542974,7842974
Kicking and Screaming,45000000,52842724,7842724
"20,000 Leagues Under the Sea",200000,8000000,7800000
The Great Escape,4000000,11744471,7744471
Lottery Ticket,17000000,24719879,7719879
Kit Kittredge: An American Girl,10000000,17657973,7657973
Hot Fuzz,16000000,23618786,7618786
Beyond the Lights,7000000,14618727,7618727
Mad Hot Ballroom,500000,8117961,7617961
Diner,5000000,12592907,7592907
Invasion U.S.A.,10000000,17536256,7536256
Epic,100000000,107518682,7518682
Mr. Smith Goes To Washington,1500000,9000000,7500000
Hud,2500000,10000000,7500000
Motherâs Day,25000000,32492859,7492859
Zack and Miri Make a Porno,24000000,31457946,7457946
Tupac Resurrection,300000,7718961,7418961
Bride of Chucky,25000000,32404188,7404188
Elmer Gantry,3000000,10400000,7400000
Quartet,11000000,18388357,7388357
Roll Bounce,10000000,17380866,7380866
Dr. Strangelove,1800000,9164370,7364370
High Fidelity,20000000,27277055,7277055
High Noon,730000,8000000,7270000
Hardcore Henry,2000000,9252038,7252038
Lolita,2000000,9250000,7250000
Before I Fall,5000000,12241072,7241072
Black Christmas,9000000,16235738,7235738
Daddy Day Camp,6000000,13235267,7235267
Lone Wolf McQuade,5000000,12232628,7232628
Buffy the Vampire Slayer,7000000,14231669,7231669
Vicky Cristina Barcelona,16000000,23216709,7216709
Silverado,26000000,33200000,7200000
Nowhere to Run,15000000,22189039,7189039
Fist Fight,25000000,32187017,7187017
Boom Town,2000000,9172000,7172000
Rushmore,10000000,17105219,7105219
American Psycho,8000000,15070285,7070285
Hoop Dreams,700000,7768371,7068371
Sunshine Cleaning,5000000,12062558,7062558
Jersey Boys,40000000,47047013,7047013
See No Evil,8000000,15032800,7032800
Next Day Air,3000000,10027047,7027047
In Too Deep,7000000,14026509,7026509
The Boys from Brazil,12000000,19000000,7000000
Battle for the Planet of the Apes,1800000,8800000,7000000
Judgment at Nuremberg,3000000,10000000,7000000
The Valley of Decision,2160000,9132000,6972000
She's Gotta Have It,175000,7137502,6962502
Kevin Hart: Laugh at My Pain,750000,7706436,6956436
Donnie Brasco,35000000,41954997,6954997
What the #$'! Do We Know,4000000,10941801,6941801
Leap Year,19000000,25918920,6918920
The Family,30000000,36918811,6918811
Catch-22,18000000,24911670,6911670
Stick It,20000000,26910736,6910736
Eraserhead,100000,7000000,6900000
One Missed Call,20000000,26890041,6890041
Friends with Money,6500000,13368437,6868437
I Got the Hook-Up!,3500000,10317779,6817779
The LEGO Movie 2: The Second Part,99000000,105806508,6806508
Sands of Iwo Jima,1000000,7800000,6800000
Mystic Pizza,6000000,12793213,6793213
Eye for an Eye,20000000,26792700,6792700
The Upside of Anger,12000000,18761993,6761993
American Reunion,50000000,56758835,6758835
The Darkness,4000000,10753574,6753574
Kangaroo Jack,60000000,66723216,6723216
The Hate U Give,23000000,29719483,6719483
Mr. Nice Guy,6000000,12716953,6716953
Fifty Shades of Black,5000000,11686940,6686940
Tremors,10000000,16667084,6667084
August Rush,25000000,31664162,6664162
Belly,3000000,9639390,6639390
Aquamarine,12000000,18597342,6597342
Roger & Me,140000,6706368,6566368
The Perfect Man,10000000,16535005,6535005
Anacondas: The Hunt for the Blood Orchid,25000000,31526393,6526393
Scoop,4000000,10525717,6525717
Haakon Haakonsen,8500000,15024232,6524232
War and Peace,6000000,12500000,6500000
Urban Legends: Final Cut,15000000,21468807,6468807
Election,8500000,14943582,6443582
Street Kings,20000000,26418667,6418667
The Place Beyond the Pines,15000000,21403519,6403519
Ulee's Gold,2700000,9054736,6354736
Tom yum goong,5700000,12044087,6344087
Jodaeiye Nader az Simin,800000,7098492,6298492
The 15:17 to Paris,30000000,36276286,6276286
Our Family Wedding,14000000,20255281,6255281
Adventureland,9800000,16044025,6244025
A Streetcar Named Desire,1800000,8000000,6200000
The Green Inferno,1000000,7192291,6192291
Unsane,1500000,7690044,6190044
Mo' Better Blues,10000000,16153000,6153000
I Am Not Your Negro,1000000,7123919,6123919
After Hours,4500000,10609321,6109321
The Wash,4000000,10097096,6097096
Kung Pow: Enter the Fist,10000000,16033556,6033556
Dolphin Tale 2,36000000,42024533,6024533
Hotel Rwanda,17500000,23519128,6019128
The Hitchhiker's Guide to the Galaxy,45000000,51019112,6019112
The Good Girl,8000000,14018296,6018296
Trippinâ,3000000,9017070,6017070
Made of Honor,40000000,46012734,6012734
Red River,3000000,9012000,6012000
Observe and Report,18000000,24007324,6007324
The World's End,20000000,26004851,6004851
Flicka,15000000,21000147,6000147
Solomon and Sheba,5000000,11000000,6000000
A Farewell To Arms,5000000,11000000,6000000
She's the One,3500000,9482579,5982579
Mortal Kombat: Annihilation,30000000,35927406,5927406
The Rainmaker,40000000,45916769,5916769
"Big Mommas: Like Father, Like Son",32000000,37915414,5915414
Kids,1500000,7412216,5912216
Sliding Doors,6000000,11911200,5911200
Moby Dick,4500000,10400000,5900000
The Andromeda Strain,6500000,12376563,5876563
The Squid and the Whale,1500000,7372734,5872734
The Birth of a Nation,10000000,15861566,5861566
Double Take,24000000,29823162,5823162
The Deep End,3000000,8823109,5823109
3 Strikes,4000000,9821335,5821335
Fury,80000000,85817906,5817906
The Hills Have Eyes II,15000000,20804166,5804166
Gentleman's Agreement,2000000,7800000,5800000
Strangers on a Train,1200000,7000000,5800000
The Trouble with Harry,1200000,7000000,5800000
Boys and Girls,16000000,21799652,5799652
Tales from the Hood,6000000,11784569,5784569
Awake,8600000,14373825,5773825
The Beastmaster,5000000,10751126,5751126
Dickie Roberts: Former Child Star,17000000,22734486,5734486
From Dusk Till Dawn,20000000,25728961,5728961
Eye in the Sky,13000000,18704596,5704596
Hansel & Gretel: Witch Hunters,50000000,55703475,5703475
You Again,20000000,25702053,5702053
Max Payne,35000000,40689393,5689393
Nebraska,12000000,17654912,5654912
Resident Evil: Extinction,45000000,50648679,5648679
Broken Arrow,65000000,70645997,5645997
Halloween 5: The Revenge of Michael Myers,6000000,11642254,5642254
Vampire in Brooklyn,14000000,19637147,5637147
"House of 1,000 Corpses",7000000,12634962,5634962
Larry Crowne,30000000,35608245,5608245
Hell Fest,5500000,11107431,5607431
3:10 to Yuma,48000000,53606916,5606916
The Hustler,2000000,7600000,5600000
Keanu,15000000,20591853,5591853
Nancy Drew,20000000,25584685,5584685
Not Easily Broken,5000000,10572742,5572742
The Sitter,25000000,30542576,5542576
Kissing Jessica Stein,1500000,7025722,5525722
Lola rennt,1750000,7267324,5517324
Spellbound,1500000,7000000,5500000
The Words,6000000,11494838,5494838
The Edge of Seventeen,9000000,14431633,5431633
Momsâ Night Out,5000000,10429707,5429707
The Visitor,4000000,9427026,5427026
Wrong Turn,10000000,15417771,5417771
The Omega Code,7200000,12610552,5410552
Anastasia,53000000,58403409,5403409
Raging Bull,18000000,23380203,5380203
Witchboard,2000000,7369373,5369373
My Baby's Daddy,12000000,17321573,5321573
The Station Agent,500000,5801558,5301558
